Team,Team within selected timeframe,Age,Market value,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Shots against,Clean sheets,"Save rate, %",xG against,xG against per 90,Back passes received as GK per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",AMF,CB,CF,DMF,GK,LAMF,LB,LCB,LCMF,LDMF,LW,LWB,LWF,RAMF,RB,RCB,RCMF,RDMF,RW,RWB,RWF,Foot_both,Foot_left,Foot_right,Foot_unknown,On loan_no,On loan_yes
1321,680,18.0,0,22,2052,4.0,7.23,0,1.0,24.78,35.75,2,15,192,79,3.55,3.29,64.0,5.79,39.39,0.13,0.17,0.26,1.32,1.68,1.49,2,0.09,0,0.0,2.72,0.18,4,0.18,0.32,1,0.04,56,2.46,41.07,7.143,0.0,0.66,33.33,0.35,0.0,0.31,71.43,0.04,2.37,61.11,11.14,29.92,3.07,0.79,8.86,1.89,0.75,16.18,76.42,2.46,60.71,5.66,85.27,4.47,78.43,15.44,78.41,0.18,75.0,15.29,8.3,0.04,0.7,0.0,0.0,0.26,16.67,0.22,1.27,72.41,0.75,58.82,0.22,20.0,0.35,0.18,1.36,67.74,0,0,0,0.0,0.0,0.0,0.04,0.22,0.22,40.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False
219,96,24.0,0,21,1476,7.0,8.3,0,2.29,25.55,40.57,2,15,0,0,5.24,4.76,50.0,6.28,42.72,0.55,0.68,0.3,2.32,2.86,1.83,2,0.12,0,0.0,2.8,0.43,5,0.3,0.51,1,0.06,42,2.56,40.48,16.667,0.0,0.55,33.33,0.18,66.67,0.37,16.67,0.0,2.01,72.73,10.0,35.37,3.9,1.04,13.17,1.95,1.22,19.82,76.0,4.09,61.19,5.67,89.25,5.61,80.43,18.23,78.26,1.1,55.56,15.61,19.77,0.14,1.1,0.0,0.0,0.3,40.0,0.61,1.77,65.52,1.16,63.16,0.24,50.0,1.34,0.24,2.44,62.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
72,30,27.0,0,15,539,2.0,0.44,1,0.58,17.5,41.41,3,17,171,67,12.02,7.78,59.09,2.83,6.25,1.77,2.68,0.0,5.66,8.57,1.24,2,0.33,0,0.0,1.41,0.33,2,0.35,0.08,0,0.0,11,1.94,36.36,18.182,0.18,0.35,50.0,0.0,0.0,0.18,100.0,0.0,0.88,60.0,4.77,33.33,1.24,0.18,26.88,0.71,1.06,41.38,86.32,12.55,77.46,7.96,91.11,14.15,91.25,37.66,88.73,3.36,63.16,16.98,22.04,0.1,1.06,0.0,0.0,0.35,0.0,0.18,5.66,71.88,1.06,33.33,0.71,0.0,0.53,0.35,6.37,80.56,0,0,0,0.0,0.0,0.0,0.18,0.53,0.18,100.0,1.06,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,True,False
1206,619,24.0,0,17,1513,1.0,1.65,1,0.16,21.41,50.83,3,17,186,78,9.7,9.58,59.01,2.86,52.08,0.24,0.3,0.3,3.81,4.79,2.5,7,0.42,1,0.06,1.37,0.06,1,0.06,0.1,1,0.06,20,1.19,20.0,5.0,0.06,0.77,23.08,0.36,16.67,0.42,28.57,0.12,1.31,59.09,6.07,40.2,0.83,0.18,24.75,0.18,1.31,39.32,83.96,13.21,76.58,5.83,92.86,14.28,88.75,33.85,89.28,4.82,54.32,20.11,39.15,0.01,0.42,0.06,0.0,0.3,60.0,0.0,7.2,77.69,1.19,40.0,0.65,54.55,0.36,0.18,6.9,77.59,0,0,0,0.0,0.0,0.0,0.06,0.18,0.18,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
509,241,21.0,0,6,441,0.0,0.38,0,0.07,31.84,45.51,3,17,180,71,8.57,8.16,50.0,3.06,40.0,1.02,1.33,0.2,3.47,4.51,2.24,1,0.2,1,0.2,5.92,0.0,0,0.0,0.08,0,0.0,8,1.63,75.0,0.0,0.0,1.02,40.0,0.2,0.0,0.82,50.0,0.41,6.53,59.38,17.96,44.32,1.84,1.02,32.65,1.02,3.88,43.47,82.16,15.92,73.08,5.51,96.3,15.31,88.0,35.51,88.51,6.94,55.88,19.45,34.72,0.02,0.61,0.0,0.0,1.02,40.0,0.2,6.73,60.61,1.63,50.0,1.02,40.0,1.02,0.41,8.16,77.5,0,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
1071,554,18.0,0,3,62,0.0,0.0,0,0.0,21.77,53.33,74,561,0,0,7.26,7.26,40.0,2.9,100.0,0.0,0.0,0.0,4.35,6.92,2.9,1,1.45,0,0.0,1.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.45,0.0,1.45,0.0,0.0,0.0,1.45,2.9,50.0,7.26,40.0,0.0,0.0,11.61,0.0,0.0,34.84,70.83,10.16,28.57,8.71,100.0,11.61,75.0,30.48,80.95,2.9,0.0,17.2,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,28.57,1.45,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
674,341,17.0,0,3,59,0.0,0.0,0,0.01,16.78,27.27,74,561,0,0,3.05,6.1,25.0,3.05,50.0,0.0,0.0,0.0,1.53,3.75,1.53,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,3.05,0.0,4.58,1.53,0.0,6.1,100.0,0.0,0.0,1.53,100.0,3.05,100.0,6.1,100.0,0.0,0.0,7.33,0.0,0.01,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False
172,177,18.0,0,12,358,0.0,0.06,0,0.04,20.36,46.91,74,561,185,77,10.81,7.29,51.72,5.53,63.64,0.75,0.87,0.5,6.28,7.28,1.26,0,0.0,0,0.0,0.5,0.0,0,0.0,0.02,0,0.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,16.67,4.53,22.22,0.75,0.5,15.08,0.0,0.0,25.89,82.52,10.06,67.5,3.77,86.67,9.55,92.11,22.88,86.81,3.02,50.0,16.8,23.63,0.01,0.25,0.0,0.0,0.25,100.0,0.0,4.02,43.75,0.25,0.0,0.5,100.0,0.0,0.0,5.03,65.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,True,False
411,177,21.0,0,3,141,0.0,0.0,0,0.0,13.4,61.9,74,561,0,0,10.21,10.21,62.5,0.0,0.0,1.28,1.67,0.0,2.55,3.33,1.28,1,0.64,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,100.0,0.0,0.0,21.06,0.0,1.28,28.72,86.67,9.57,73.33,7.02,90.91,7.02,100.0,24.89,89.74,3.83,66.67,16.12,17.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,85.71,0.0,0.0,0.0,0.0,0.0,0.0,4.47,85.71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,True,False
411,177,21.0,0,8,497,0.0,0.4,0,0.0,16.48,49.45,74,561,181,0,11.41,8.15,53.33,3.44,26.32,0.91,1.02,0.18,6.16,6.94,0.91,1,0.18,0,0.0,0.72,0.0,0,0.0,0.07,0,0.0,5,0.91,20.0,0.0,0.0,0.18,100.0,0.0,0.0,0.18,100.0,0.0,0.54,66.67,2.35,61.54,0.36,0.18,17.57,0.36,1.09,33.5,81.08,13.76,65.79,4.53,96.0,11.41,95.24,29.34,85.8,3.98,45.45,19.58,30.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,57.69,0.36,100.0,0.18,0.0,0.0,0.18,5.07,39.29,0,0,0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False,False,True,False,True,False
1293,642,21.0,0,16,482,0.0,0.82,1,0.56,21.66,42.24,74,561,177,67,7.84,5.79,64.52,3.92,33.33,0.0,0.0,0.0,4.11,4.71,1.12,1,0.19,0,0.0,2.24,0.0,0,0.0,0.15,0,0.0,13,2.43,46.15,0.0,0.19,1.31,28.57,1.31,28.57,0.0,0.0,0.19,1.68,44.44,7.1,31.58,1.68,1.68,12.7,2.8,0.93,17.37,53.76,6.91,45.95,3.73,85.0,4.29,47.83,14.38,58.44,1.68,33.33,19.0,16.1,0.1,0.37,0.0,0.0,0.56,0.0,0.19,3.55,31.58,1.49,37.5,0.75,0.0,0.0,0.37,3.55,47.37,0,0,0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,True,False,False,True,False
1478,766,20.0,0,16,471,2.0,1.6,1,0.22,24.08,38.1,74,561,0,0,6.88,5.92,48.39,3.82,30.0,0.57,0.95,0.57,3.44,5.68,1.34,2,0.38,1,0.19,4.01,0.38,2,0.38,0.31,0,0.0,15,2.87,53.33,13.333,0.19,1.91,20.0,1.53,12.5,0.38,50.0,0.19,6.31,33.33,11.46,33.33,2.29,2.48,11.85,2.87,0.76,17.77,67.74,4.78,52.0,4.59,83.33,3.25,52.94,15.29,75.0,0.57,33.33,13.98,6.23,0.04,0.96,0.0,0.0,0.19,0.0,0.38,1.34,71.43,2.68,50.0,0.0,0.0,0.38,0.38,1.34,57.14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,False,False,True,False,True,False
1072,554,22.0,0,3,82,0.0,0.03,0,0.0,21.95,45.0,74,561,0,0,8.78,9.88,55.56,1.1,0.0,0.0,0.0,1.1,3.29,6.0,2.2,1,1.1,0,0.0,2.2,0.0,0,0.0,0.03,0,0.0,1,1.1,0.0,0.0,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,3.29,66.67,7.68,57.14,1.1,2.2,23.05,0.0,4.39,31.83,58.62,17.56,62.5,3.29,100.0,7.68,42.86,20.85,63.16,8.78,62.5,20.46,36.48,0.0,0.0,0.0,1.1,0.0,0.0,0.0,6.59,83.33,2.2,0.0,1.1,100.0,0.0,0.0,13.17,58.33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False
1071,554,21.0,0,24,1325,0.0,1.32,0,0.9,18.75,59.42,74,561,0,0,8.49,7.13,67.62,3.19,40.43,0.48,0.61,0.2,3.19,4.06,1.63,3,0.2,0,0.0,1.43,0.0,0,0.0,0.09,0,0.0,9,0.61,22.22,0.0,0.0,0.54,12.5,0.14,0.0,0.41,16.67,0.0,1.9,64.29,5.57,59.76,0.48,0.68,19.97,0.2,1.7,30.77,81.9,8.42,69.35,6.66,91.84,9.58,84.4,28.39,84.45,1.97,58.62,17.02,22.42,0.06,0.75,0.0,0.0,0.14,0.0,0.2,4.42,64.62,1.29,31.58,0.82,41.67,0.61,0.07,3.8,76.79,0,0,0,0.0,0.0,0.0,0.2,0.48,0.0,0.0,0.82,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,True,False
1253,642,16.0,0,4,78,0.0,0.0,0,0.0,12.69,36.36,74,561,0,0,12.69,8.08,57.14,2.31,0.0,2.31,2.22,0.0,5.77,5.56,1.15,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,2.31,0.0,0.0,2.31,0.0,2.31,0.0,0.0,1.15,9.23,1.15,0.0,20.77,44.44,11.54,50.0,3.46,33.33,1.15,100.0,11.54,60.0,6.92,33.33,18.33,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,1.15,0.0,1.15,0.0,0.0,0.0,3.46,33.33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,True,True,False
1477,766,27.0,0,9,233,0.0,0.66,0,0.27,25.49,40.91,74,561,173,68,7.73,8.11,47.62,4.25,18.18,1.16,2.0,0.39,2.7,4.67,1.93,1,0.39,0,0.0,1.93,0.0,0,0.0,0.25,0,0.0,8,3.09,25.0,0.0,0.0,1.93,40.0,0.77,50.0,1.16,33.33,0.0,1.93,20.0,8.88,47.83,4.25,2.32,18.93,1.16,1.55,27.81,70.83,8.88,52.17,4.64,75.0,9.27,79.17,22.79,74.58,3.48,55.56,16.65,19.69,0.1,0.77,0.0,0.0,0.0,0.0,0.77,4.64,50.0,3.86,40.0,1.93,40.0,1.55,0.77,6.18,75.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,True,False
154,67,19.0,0,11,321,0.0,0.15,0,0.47,17.38,54.84,74,561,0,0,9.53,7.57,55.56,1.96,57.14,0.28,0.3,0.28,5.05,5.45,0.28,0,0.0,0,0.0,4.49,0.0,0,0.0,0.04,0,0.0,2,0.56,100.0,0.0,0.0,2.8,50.0,2.52,55.56,0.28,0.0,0.56,2.8,80.0,6.45,60.87,1.96,1.4,15.14,1.12,0.0,27.48,69.39,14.58,61.54,3.36,91.67,7.29,69.23,21.59,76.62,3.36,41.67,13.45,15.6,0.13,0.84,0.0,0.0,0.28,100.0,0.84,4.77,76.47,3.08,63.64,0.56,50.0,1.12,1.68,8.13,68.97,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,True,False
